recipe_name,cuisine_type,meal_type,difficulty_level,prep_time_minutes,cook_time_minutes,servings,main_ingredients,all_ingredients,dietary_restrictions,instructions,nutritional_info
Chinese Spinach Soup,Chinese,Breakfast,Hard,66,163,3,"Spinach, Shrimp, Pork","Spinach, Shrimp, Pork, Butter, Olive Oil, Flour, Honey",Contains shellfish,"Prepare Spinach, Shrimp, Pork. Cook with Spinach, Shrimp, Pork, Butter, Olive Oil, Flour, Honey. Season and serve.","Calories: 623, Protein: 33g, Carbs: 50g, Fat: 21g"
Mexican Eggs Salad,Mexican,Lunch,Hard,88,36,6,"Eggs, Chicken, Tomatoes","Eggs, Chicken, Tomatoes, Spices, Sugar, Onion, Chili","Low-carb, Vegetarian","Prepare Eggs, Chicken, Tomatoes. Cook with Eggs, Chicken, Tomatoes, Spices, Sugar, Onion, Chili. Season and serve.","Calories: 523, Protein: 34g, Carbs: 69g, Fat: 22g"
Indian Pasta Casserole,Indian,Dinner,Medium,23,131,4,"Pasta, Eggs, Cheese","Pasta, Eggs, Cheese, Yogurt, Garlic, Cream, Spices","Contains nuts, Halal","Prepare Pasta, Eggs, Cheese. Cook with Pasta, Eggs, Cheese, Yogurt, Garlic, Cream, Spices. Season and serve.","Calories: 223, Protein: 18g, Carbs: 56g, Fat: 15g"
Indian Rice Stew,Indian,Snacks,Medium,27,66,5,"Rice, Pork, Tomatoes","Rice, Pork, Tomatoes, Milk, Garlic, Olive Oil, Butter","Contains shellfish, Vegan","Prepare Rice, Pork, Tomatoes. Cook with Rice, Pork, Tomatoes, Milk, Garlic, Olive Oil, Butter. Season and serve.","Calories: 480, Protein: 40g, Carbs: 11g, Fat: 15g"
Middle Eastern Potatoes Stew,Middle Eastern,Snacks,Easy,58,6,3,"Potatoes, Beef, Lentils","Potatoes, Beef, Lentils, Soy Sauce, Olive Oil, Onion, Sugar","Contains shellfish, Vegetarian","Prepare Potatoes, Beef, Lentils. Cook with Potatoes, Beef, Lentils, Soy Sauce, Olive Oil, Onion, Sugar. Season and serve.","Calories: 418, Protein: 34g, Carbs: 36g, Fat: 10g"
Japanese Pasta Curry,Japanese,Dinner,Medium,26,148,8,"Pasta, Shrimp, Beef","Pasta, Shrimp, Beef, Herbs, Butter, Yogurt, Chili","Gluten-free, Vegetarian","Prepare Pasta, Shrimp, Beef. Cook with Pasta, Shrimp, Beef, Herbs, Butter, Yogurt, Chili. Season and serve.","Calories: 343, Protein: 33g, Carbs: 39g, Fat: 13g"
Italian Spinach Skillet,Italian,Breakfast,Medium,58,153,7,"Spinach, Cheese, Chicken","Spinach, Cheese, Chicken, Sugar, Butter, Spices, Yogurt","Gluten-free, Paleo","Prepare Spinach, Cheese, Chicken. Cook with Spinach, Cheese, Chicken, Sugar, Butter, Spices, Yogurt. Season and serve.","Calories: 572, Protein: 35g, Carbs: 47g, Fat: 19g"
Spanish Eggs Tortilla,Spanish,Snacks,Hard,23,128,1,"Eggs, Potatoes, Tomatoes","Eggs, Potatoes, Tomatoes, Garlic, Soy Sauce, Milk, Butter","Low-carb, Halal, Contains dairy","Prepare Eggs, Potatoes, Tomatoes. Cook with Eggs, Potatoes, Tomatoes, Garlic, Soy Sauce, Milk, Butter. Season and serve.","Calories: 557, Protein: 20g, Carbs: 16g, Fat: 9g"
American Pasta Overnight Oats,American,Breakfast,Hard,68,68,5,"Pasta, Spinach, Fish","Pasta, Spinach, Fish, Flour, Soy Sauce, Honey, Olive Oil","Kosher, Vegan, Contains dairy","Prepare Pasta, Spinach, Fish. Cook with Pasta, Spinach, Fish, Flour, Soy Sauce, Honey, Olive Oil. Season and serve.","Calories: 239, Protein: 26g, Carbs: 35g, Fat: 12g"
Mediterranean Potatoes Stir-Fry,Mediterranean,Breakfast,Hard,66,12,8,"Potatoes, Mushrooms, Shrimp","Potatoes, Mushrooms, Shrimp, Olive Oil, Cream, Yogurt, Sugar","Vegan, Contains nuts","Prepare Potatoes, Mushrooms, Shrimp. Cook with Potatoes, Mushrooms, Shrimp, Olive Oil, Cream, Yogurt, Sugar. Season and serve.","Calories: 594, Protein: 25g, Carbs: 65g, Fat: 6g"
American Mushrooms Casserole,American,Desserts,Hard,9,97,1,"Mushrooms, Fish, Spinach","Mushrooms, Fish, Spinach, Herbs, Chili, Garlic, Onion","Low-carb, Kosher","Prepare Mushrooms, Fish, Spinach. Cook with Mushrooms, Fish, Spinach, Herbs, Chili, Garlic, Onion. Season and serve.","Calories: 521, Protein: 10g, Carbs: 13g, Fat: 24g"
Mexican Spinach Casserole,Mexican,Desserts,Medium,76,9,1,"Spinach, Chicken, Tomatoes","Spinach, Chicken, Tomatoes, Spices, Yogurt, Garlic, Cream","Contains nuts, Vegan","Prepare Spinach, Chicken, Tomatoes. Cook with Spinach, Chicken, Tomatoes, Spices, Yogurt, Garlic, Cream. Season and serve.","Calories: 229, Protein: 27g, Carbs: 36g, Fat: 25g"
Spanish Cheese Escabeche,Spanish,Dinner,Medium,12,124,1,"Cheese, Rice, Shrimp","Cheese, Rice, Shrimp, Onion, Flour, Olive Oil, Butter","Contains shellfish, Paleo","Prepare Cheese, Rice, Shrimp. Cook with Cheese, Rice, Shrimp, Onion, Flour, Olive Oil, Butter. Season and serve.","Calories: 483, Protein: 20g, Carbs: 33g, Fat: 18g"
Mediterranean Cheese Pilaf,Mediterranean,Snacks,Medium,58,24,1,"Cheese, Potatoes, Chicken","Cheese, Potatoes, Chicken, Spices, Flour, Honey, Soy Sauce","Paleo, Vegan, Contains nuts","Prepare Cheese, Potatoes, Chicken. Cook with Cheese, Potatoes, Chicken, Spices, Flour, Honey, Soy Sauce. Season and serve.","Calories: 261, Protein: 37g, Carbs: 23g, Fat: 15g"
Korean Spinach Stir-Fry,Korean,Desserts,Easy,14,46,1,"Spinach, Pasta, Pork","Spinach, Pasta, Pork, Butter, Olive Oil, Yogurt, Milk",Contains dairy,"Prepare Spinach, Pasta, Pork. Cook with Spinach, Pasta, Pork, Butter, Olive Oil, Yogurt, Milk. Season and serve.","Calories: 232, Protein: 34g, Carbs: 68g, Fat: 15g"
Korean Pasta Kimchi Fried Rice,Korean,Breakfast,Hard,17,78,3,"Pasta, Mushrooms, Eggs","Pasta, Mushrooms, Eggs, Herbs, Milk, Garlic, Cream","Contains nuts, Paleo","Prepare Pasta, Mushrooms, Eggs. Cook with Pasta, Mushrooms, Eggs, Herbs, Milk, Garlic, Cream. Season and serve.","Calories: 252, Protein: 10g, Carbs: 18g, Fat: 25g"
Thai Pork Salad,Thai,Lunch,Medium,17,108,2,"Pork, Lentils, Potatoes","Pork, Lentils, Potatoes, Flour, Butter, Yogurt, Herbs",Contains shellfish,"Prepare Pork, Lentils, Potatoes. Cook with Pork, Lentils, Potatoes, Flour, Butter, Yogurt, Herbs. Season and serve.","Calories: 240, Protein: 14g, Carbs: 10g, Fat: 10g"
French Eggs Pilaf,French,Snacks,Hard,42,86,2,"Eggs, Pasta, Spinach","Eggs, Pasta, Spinach, Herbs, Soy Sauce, Flour, Butter","Contains shellfish, Contains dairy, Vegetarian","Prepare Eggs, Pasta, Spinach. Cook with Eggs, Pasta, Spinach, Herbs, Soy Sauce, Flour, Butter. Season and serve.","Calories: 212, Protein: 22g, Carbs: 36g, Fat: 14g"
African Tofu Skillet,African,Lunch,Hard,8,110,1,"Tofu, Pork, Spinach","Tofu, Pork, Spinach, Olive Oil, Sugar, Onion, Chili","Contains shellfish, Paleo, Contains dairy","Prepare Tofu, Pork, Spinach. Cook with Tofu, Pork, Spinach, Olive Oil, Sugar, Onion, Chili. Season and serve.","Calories: 657, Protein: 20g, Carbs: 54g, Fat: 10g"
Korean Pork Casserole,Korean,Lunch,Hard,23,4,4,"Pork, Rice, Fish","Pork, Rice, Fish, Milk, Olive Oil, Garlic, Soy Sauce","Kosher, Halal, Low-carb","Prepare Pork, Rice, Fish. Cook with Pork, Rice, Fish, Milk, Olive Oil, Garlic, Soy Sauce. Season and serve.","Calories: 676, Protein: 17g, Carbs: 38g, Fat: 20g"
Vietnamese Pork Roast,Vietnamese,Lunch,Medium,46,99,4,"Pork, Cheese, Tofu","Pork, Cheese, Tofu, Honey, Herbs, Onion, Soy Sauce","Contains dairy, Vegetarian, Contains shellfish","Prepare Pork, Cheese, Tofu. Cook with Pork, Cheese, Tofu, Honey, Herbs, Onion, Soy Sauce. Season and serve.","Calories: 269, Protein: 22g, Carbs: 37g, Fat: 11g"
Spanish Pork Escabeche,Spanish,Lunch,Medium,21,38,2,"Pork, Tofu, Mushrooms","Pork, Tofu, Mushrooms, Herbs, Honey, Cream, Flour",Low-carb,"Prepare Pork, Tofu, Mushrooms. Cook with Pork, Tofu, Mushrooms, Herbs, Honey, Cream, Flour. Season and serve.","Calories: 347, Protein: 8g, Carbs: 44g, Fat: 17g"
Mexican Eggs Roast,Mexican,Dinner,Medium,7,114,1,"Eggs, Tofu, Spinach","Eggs, Tofu, Spinach, Garlic, Honey, Onion, Chili",Kosher,"Prepare Eggs, Tofu, Spinach. Cook with Eggs, Tofu, Spinach, Garlic, Honey, Onion, Chili. Season and serve.","Calories: 692, Protein: 33g, Carbs: 78g, Fat: 13g"
Japanese Tomatoes Bake,Japanese,Desserts,Hard,24,47,7,"Tomatoes, Cheese, Tofu","Tomatoes, Cheese, Tofu, Onion, Soy Sauce, Cream, Spices","Vegetarian, Contains dairy","Prepare Tomatoes, Cheese, Tofu. Cook with Tomatoes, Cheese, Tofu, Onion, Soy Sauce, Cream, Spices. Season and serve.","Calories: 426, Protein: 8g, Carbs: 22g, Fat: 7g"
Mexican Beef Bowl,Mexican,Desserts,Medium,43,36,1,"Beef, Shrimp, Cheese","Beef, Shrimp, Cheese, Honey, Milk, Herbs, Soy Sauce","Contains dairy, Contains shellfish, Contains nuts","Prepare Beef, Shrimp, Cheese. Cook with Beef, Shrimp, Cheese, Honey, Milk, Herbs, Soy Sauce. Season and serve.","Calories: 655, Protein: 27g, Carbs: 38g, Fat: 7g"
Indian Potatoes Tikka,Indian,Dinner,Easy,11,149,1,"Potatoes, Tomatoes, Fish","Potatoes, Tomatoes, Fish, Chili, Cream, Honey, Olive Oil","Halal, Contains dairy","Prepare Potatoes, Tomatoes, Fish. Cook with Potatoes, Tomatoes, Fish, Chili, Cream, Honey, Olive Oil. Season and serve.","Calories: 429, Protein: 33g, Carbs: 20g, Fat: 6g"
French Beef Frittata,French,Breakfast,Hard,88,65,1,"Beef, Shrimp, Tomatoes","Beef, Shrimp, Tomatoes, Cream, Chili, Herbs, Olive Oil","Gluten-free, Contains dairy","Prepare Beef, Shrimp, Tomatoes. Cook with Beef, Shrimp, Tomatoes, Cream, Chili, Herbs, Olive Oil. Season and serve.","Calories: 690, Protein: 11g, Carbs: 52g, Fat: 9g"
French Potatoes Stir-Fry,French,Breakfast,Easy,52,166,4,"Potatoes, Spinach, Tofu","Potatoes, Spinach, Tofu, Herbs, Yogurt, Milk, Flour","Gluten-free, Halal, Low-carb","Prepare Potatoes, Spinach, Tofu. Cook with Potatoes, Spinach, Tofu, Herbs, Yogurt, Milk, Flour. Season and serve.","Calories: 409, Protein: 11g, Carbs: 19g, Fat: 22g"
Chinese Shrimp Stir-Fry,Chinese,Snacks,Medium,8,104,8,"Shrimp, Cheese, Beef","Shrimp, Cheese, Beef, Sugar, Milk, Soy Sauce, Herbs",Vegetarian,"Prepare Shrimp, Cheese, Beef. Cook with Shrimp, Cheese, Beef, Sugar, Milk, Soy Sauce, Herbs. Season and serve.","Calories: 599, Protein: 13g, Carbs: 39g, Fat: 5g"
Mediterranean Spinach Roast,Mediterranean,Dinner,Medium,8,150,5,"Spinach, Tofu, Eggs","Spinach, Tofu, Eggs, Sugar, Spices, Soy Sauce, Herbs","Low-carb, Contains nuts","Prepare Spinach, Tofu, Eggs. Cook with Spinach, Tofu, Eggs, Sugar, Spices, Soy Sauce, Herbs. Season and serve.","Calories: 419, Protein: 36g, Carbs: 14g, Fat: 12g"
Thai Tofu Stir-Fry,Thai,Dinner,Easy,8,78,4,"Tofu, Tomatoes, Rice","Tofu, Tomatoes, Rice, Butter, Soy Sauce, Spices, Honey","Low-carb, Contains shellfish, Vegan","Prepare Tofu, Tomatoes, Rice. Cook with Tofu, Tomatoes, Rice, Butter, Soy Sauce, Spices, Honey. Season and serve.","Calories: 292, Protein: 20g, Carbs: 46g, Fat: 18g"
American Tomatoes Bowl,American,Lunch,Hard,79,92,1,"Tomatoes, Spinach, Lentils","Tomatoes, Spinach, Lentils, Spices, Olive Oil, Chili, Butter",Paleo,"Prepare Tomatoes, Spinach, Lentils. Cook with Tomatoes, Spinach, Lentils, Spices, Olive Oil, Chili, Butter. Season and serve.","Calories: 602, Protein: 9g, Carbs: 58g, Fat: 11g"
Middle Eastern Potatoes Casserole,Middle Eastern,Dinner,Hard,25,57,4,"Potatoes, Rice, Tomatoes","Potatoes, Rice, Tomatoes, Honey, Spices, Garlic, Soy Sauce","Contains dairy, Vegan, Halal","Prepare Potatoes, Rice, Tomatoes. Cook with Potatoes, Rice, Tomatoes, Honey, Spices, Garlic, Soy Sauce. Season and serve.","Calories: 648, Protein: 6g, Carbs: 22g, Fat: 8g"
Middle Eastern Beef Crumble,Middle Eastern,Desserts,Easy,20,8,6,"Beef, Lentils, Spinach","Beef, Lentils, Spinach, Chili, Milk, Spices, Olive Oil","Contains shellfish, Halal, Kosher","Prepare Beef, Lentils, Spinach. Cook with Beef, Lentils, Spinach, Chili, Milk, Spices, Olive Oil. Season and serve.","Calories: 688, Protein: 6g, Carbs: 60g, Fat: 10g"
Indian Beef Skillet,Indian,Breakfast,Hard,68,77,2,"Beef, Eggs, Pasta","Beef, Eggs, Pasta, Garlic, Honey, Sugar, Yogurt",Contains dairy,"Prepare Beef, Eggs, Pasta. Cook with Beef, Eggs, Pasta, Garlic, Honey, Sugar, Yogurt. Season and serve.","Calories: 207, Protein: 30g, Carbs: 61g, Fat: 22g"
Vietnamese Spinach Stew,Vietnamese,Desserts,Medium,10,74,1,"Spinach, Rice, Chicken","Spinach, Rice, Chicken, Soy Sauce, Sugar, Herbs, Flour","Gluten-free, Contains nuts","Prepare Spinach, Rice, Chicken. Cook with Spinach, Rice, Chicken, Soy Sauce, Sugar, Herbs, Flour. Season and serve.","Calories: 590, Protein: 40g, Carbs: 68g, Fat: 17g"
Thai Tofu Casserole,Thai,Dinner,Medium,51,85,1,"Tofu, Rice, Fish","Tofu, Rice, Fish, Milk, Spices, Butter, Olive Oil",Gluten-free,"Prepare Tofu, Rice, Fish. Cook with Tofu, Rice, Fish, Milk, Spices, Butter, Olive Oil. Season and serve.","Calories: 565, Protein: 8g, Carbs: 44g, Fat: 5g"
American Rice Curry,American,Dinner,Hard,32,59,5,"Rice, Spinach, Shrimp","Rice, Spinach, Shrimp, Cream, Flour, Milk, Butter","Kosher, Halal","Prepare Rice, Spinach, Shrimp. Cook with Rice, Spinach, Shrimp, Cream, Flour, Milk, Butter. Season and serve.","Calories: 684, Protein: 23g, Carbs: 55g, Fat: 11g"
African Pasta Roast,African,Breakfast,Medium,21,3,5,"Pasta, Rice, Chicken","Pasta, Rice, Chicken, Butter, Flour, Garlic, Soy Sauce",Contains shellfish,"Prepare Pasta, Rice, Chicken. Cook with Pasta, Rice, Chicken, Butter, Flour, Garlic, Soy Sauce. Season and serve.","Calories: 320, Protein: 35g, Carbs: 44g, Fat: 6g"
African Pasta Casserole,African,Snacks,Hard,20,150,3,"Pasta, Spinach, Mushrooms","Pasta, Spinach, Mushrooms, Chili, Garlic, Honey, Olive Oil",Low-carb,"Prepare Pasta, Spinach, Mushrooms. Cook with Pasta, Spinach, Mushrooms, Chili, Garlic, Honey, Olive Oil. Season and serve.","Calories: 637, Protein: 37g, Carbs: 44g, Fat: 14g"
Mediterranean Beef Mezze Bowl,Mediterranean,Snacks,Easy,25,140,2,"Beef, Lentils, Pork","Beef, Lentils, Pork, Butter, Herbs, Honey, Sugar",Low-carb,"Prepare Beef, Lentils, Pork. Cook with Beef, Lentils, Pork, Butter, Herbs, Honey, Sugar. Season and serve.","Calories: 311, Protein: 16g, Carbs: 44g, Fat: 11g"
Italian Mushrooms Bake,Italian,Lunch,Medium,46,67,7,"Mushrooms, Tofu, Spinach","Mushrooms, Tofu, Spinach, Garlic, Soy Sauce, Butter, Milk","Kosher, Gluten-free, Vegetarian","Prepare Mushrooms, Tofu, Spinach. Cook with Mushrooms, Tofu, Spinach, Garlic, Soy Sauce, Butter, Milk. Season and serve.","Calories: 527, Protein: 28g, Carbs: 64g, Fat: 7g"
Middle Eastern Lentils Crumble,Middle Eastern,Desserts,Easy,8,115,2,"Lentils, Pasta, Cheese","Lentils, Pasta, Cheese, Chili, Butter, Spices, Olive Oil","Halal, Kosher, Contains shellfish","Prepare Lentils, Pasta, Cheese. Cook with Lentils, Pasta, Cheese, Chili, Butter, Spices, Olive Oil. Season and serve.","Calories: 517, Protein: 17g, Carbs: 65g, Fat: 25g"
African Pork Pilau,African,Desserts,Hard,55,155,6,"Pork, Shrimp, Lentils","Pork, Shrimp, Lentils, Yogurt, Sugar, Flour, Soy Sauce","Paleo, Halal, Vegan","Prepare Pork, Shrimp, Lentils. Cook with Pork, Shrimp, Lentils, Yogurt, Sugar, Flour, Soy Sauce. Season and serve.","Calories: 276, Protein: 7g, Carbs: 40g, Fat: 18g"
Chinese Cheese Crumble,Chinese,Desserts,Hard,23,130,2,"Cheese, Spinach, Pork","Cheese, Spinach, Pork, Chili, Olive Oil, Milk, Onion","Contains dairy, Gluten-free, Paleo","Prepare Cheese, Spinach, Pork. Cook with Cheese, Spinach, Pork, Chili, Olive Oil, Milk, Onion. Season and serve.","Calories: 334, Protein: 33g, Carbs: 22g, Fat: 10g"
French Eggs Soup,French,Lunch,Hard,66,25,4,"Eggs, Cheese, Pork","Eggs, Cheese, Pork, Cream, Olive Oil, Flour, Herbs","Paleo, Vegan, Contains dairy","Prepare Eggs, Cheese, Pork. Cook with Eggs, Cheese, Pork, Cream, Olive Oil, Flour, Herbs. Season and serve.","Calories: 387, Protein: 18g, Carbs: 13g, Fat: 18g"
Middle Eastern Lentils Skillet,Middle Eastern,Lunch,Hard,6,69,7,"Lentils, Pork, Rice","Lentils, Pork, Rice, Soy Sauce, Olive Oil, Butter, Chili","Vegan, Contains dairy, Contains nuts","Prepare Lentils, Pork, Rice. Cook with Lentils, Pork, Rice, Soy Sauce, Olive Oil, Butter, Chili. Season and serve.","Calories: 606, Protein: 34g, Carbs: 70g, Fat: 13g"
American Mushrooms Soup,American,Desserts,Medium,43,109,4,"Mushrooms, Eggs, Tomatoes","Mushrooms, Eggs, Tomatoes, Herbs, Cream, Olive Oil, Honey",Paleo,"Prepare Mushrooms, Eggs, Tomatoes. Cook with Mushrooms, Eggs, Tomatoes, Herbs, Cream, Olive Oil, Honey. Season and serve.","Calories: 342, Protein: 35g, Carbs: 48g, Fat: 8g"
Indian Lentils Soup,Indian,Lunch,Easy,12,166,2,"Lentils, Tomatoes, Tofu","Lentils, Tomatoes, Tofu, Soy Sauce, Herbs, Sugar, Milk","Halal, Gluten-free","Prepare Lentils, Tomatoes, Tofu. Cook with Lentils, Tomatoes, Tofu, Soy Sauce, Herbs, Sugar, Milk. Season and serve.","Calories: 350, Protein: 26g, Carbs: 54g, Fat: 27g"
Korean Fish Bowl,Korean,Dinner,Medium,83,142,6,"Fish, Lentils, Tomatoes","Fish, Lentils, Tomatoes, Soy Sauce, Olive Oil, Garlic, Butter",Gluten-free,"Prepare Fish, Lentils, Tomatoes. Cook with Fish, Lentils, Tomatoes, Soy Sauce, Olive Oil, Garlic, Butter. Season and serve.","Calories: 640, Protein: 25g, Carbs: 38g, Fat: 18g"
Middle Eastern Tomatoes Salad,Middle Eastern,Lunch,Hard,78,141,2,"Tomatoes, Eggs, Spinach","Tomatoes, Eggs, Spinach, Butter, Spices, Onion, Soy Sauce","Contains nuts, Halal, Kosher","Prepare Tomatoes, Eggs, Spinach. Cook with Tomatoes, Eggs, Spinach, Butter, Spices, Onion, Soy Sauce. Season and serve.","Calories: 526, Protein: 22g, Carbs: 38g, Fat: 14g"
Spanish Mushrooms Stir-Fry,Spanish,Breakfast,Medium,76,50,2,"Mushrooms, Potatoes, Fish","Mushrooms, Potatoes, Fish, Onion, Olive Oil, Garlic, Milk","Low-carb, Halal","Prepare Mushrooms, Potatoes, Fish. Cook with Mushrooms, Potatoes, Fish, Onion, Olive Oil, Garlic, Milk. Season and serve.","Calories: 399, Protein: 34g, Carbs: 27g, Fat: 26g"
Mexican Chicken Overnight Oats,Mexican,Breakfast,Easy,9,156,5,"Chicken, Tomatoes, Pasta","Chicken, Tomatoes, Pasta, Cream, Spices, Honey, Butter",Low-carb,"Prepare Chicken, Tomatoes, Pasta. Cook with Chicken, Tomatoes, Pasta, Cream, Spices, Honey, Butter. Season and serve.","Calories: 443, Protein: 32g, Carbs: 32g, Fat: 30g"
Indian Tofu Curry,Indian,Desserts,Easy,12,171,5,"Tofu, Eggs, Pasta","Tofu, Eggs, Pasta, Flour, Butter, Herbs, Milk",Kosher,"Prepare Tofu, Eggs, Pasta. Cook with Tofu, Eggs, Pasta, Flour, Butter, Herbs, Milk. Season and serve.","Calories: 656, Protein: 9g, Carbs: 52g, Fat: 18g"
Middle Eastern Shrimp Bake,Middle Eastern,Breakfast,Hard,48,105,2,"Shrimp, Spinach, Cheese","Shrimp, Spinach, Cheese, Olive Oil, Cream, Chili, Yogurt","Contains dairy, Paleo","Prepare Shrimp, Spinach, Cheese. Cook with Shrimp, Spinach, Cheese, Olive Oil, Cream, Chili, Yogurt. Season and serve.","Calories: 623, Protein: 15g, Carbs: 53g, Fat: 18g"
African Spinach Stir-Fry,African,Snacks,Easy,45,65,3,"Spinach, Shrimp, Potatoes","Spinach, Shrimp, Potatoes, Yogurt, Herbs, Olive Oil, Flour","Kosher, Vegetarian","Prepare Spinach, Shrimp, Potatoes. Cook with Spinach, Shrimp, Potatoes, Yogurt, Herbs, Olive Oil, Flour. Season and serve.","Calories: 647, Protein: 23g, Carbs: 68g, Fat: 6g"
Japanese Spinach Pilaf,Japanese,Dinner,Hard,25,140,4,"Spinach, Pasta, Cheese","Spinach, Pasta, Cheese, Onion, Sugar, Cream, Soy Sauce","Contains dairy, Low-carb","Prepare Spinach, Pasta, Cheese. Cook with Spinach, Pasta, Cheese, Onion, Sugar, Cream, Soy Sauce. Season and serve.","Calories: 213, Protein: 5g, Carbs: 15g, Fat: 9g"
Mexican Spinach Pozole,Mexican,Lunch,Medium,75,75,7,"Spinach, Tofu, Cheese","Spinach, Tofu, Cheese, Honey, Yogurt, Flour, Sugar","Halal, Low-carb, Vegetarian","Prepare Spinach, Tofu, Cheese. Cook with Spinach, Tofu, Cheese, Honey, Yogurt, Flour, Sugar. Season and serve.","Calories: 423, Protein: 16g, Carbs: 71g, Fat: 22g"
Mediterranean Tomatoes Soup,Mediterranean,Breakfast,Hard,10,22,1,"Tomatoes, Cheese, Chicken","Tomatoes, Cheese, Chicken, Garlic, Milk, Soy Sauce, Sugar","Contains dairy, Low-carb, Gluten-free","Prepare Tomatoes, Cheese, Chicken. Cook with Tomatoes, Cheese, Chicken, Garlic, Milk, Soy Sauce, Sugar. Season and serve.","Calories: 216, Protein: 36g, Carbs: 40g, Fat: 7g"
Spanish Shrimp Fabada,Spanish,Dinner,Hard,68,90,2,"Shrimp, Tomatoes, Spinach","Shrimp, Tomatoes, Spinach, Sugar, Olive Oil, Butter, Flour","Contains dairy, Vegetarian, Vegan","Prepare Shrimp, Tomatoes, Spinach. Cook with Shrimp, Tomatoes, Spinach, Sugar, Olive Oil, Butter, Flour. Season and serve.","Calories: 696, Protein: 34g, Carbs: 48g, Fat: 16g"
African Mushrooms Skillet,African,Lunch,Medium,68,40,5,"Mushrooms, Rice, Tomatoes","Mushrooms, Rice, Tomatoes, Herbs, Spices, Olive Oil, Yogurt","Vegan, Contains nuts","Prepare Mushrooms, Rice, Tomatoes. Cook with Mushrooms, Rice, Tomatoes, Herbs, Spices, Olive Oil, Yogurt. Season and serve.","Calories: 285, Protein: 36g, Carbs: 48g, Fat: 10g"
Italian Spinach Bites,Italian,Snacks,Hard,33,161,1,"Spinach, Pasta, Cheese","Spinach, Pasta, Cheese, Onion, Honey, Spices, Cream","Low-carb, Kosher","Prepare Spinach, Pasta, Cheese. Cook with Spinach, Pasta, Cheese, Onion, Honey, Spices, Cream. Season and serve.","Calories: 386, Protein: 37g, Carbs: 59g, Fat: 26g"
Italian Tomatoes & Beef Pilaf,Italian,Desserts,Medium,19,126,3,"Tomatoes, Beef, Tofu","Tomatoes, Beef, Tofu, Herbs, Onion, Yogurt, Sugar","Halal, Contains nuts","Prepare Tomatoes, Beef, Tofu. Cook with Tomatoes, Beef, Tofu, Herbs, Onion, Yogurt, Sugar. Season and serve.","Calories: 356, Protein: 10g, Carbs: 32g, Fat: 24g"
French Beef Salad,French,Snacks,Hard,6,3,4,"Beef, Shrimp, Spinach","Beef, Shrimp, Spinach, Sugar, Butter, Soy Sauce, Olive Oil","Paleo, Vegetarian","Prepare Beef, Shrimp, Spinach. Cook with Beef, Shrimp, Spinach, Sugar, Butter, Soy Sauce, Olive Oil. Season and serve.","Calories: 674, Protein: 17g, Carbs: 56g, Fat: 10g"
Mediterranean Rice Sandwich,Mediterranean,Lunch,Hard,31,170,2,"Rice, Potatoes, Fish","Rice, Potatoes, Fish, Spices, Chili, Garlic, Flour","Halal, Vegan","Prepare Rice, Potatoes, Fish. Cook with Rice, Potatoes, Fish, Spices, Chili, Garlic, Flour. Season and serve.","Calories: 481, Protein: 37g, Carbs: 29g, Fat: 29g"
American Fish Skillet,American,Lunch,Easy,89,36,6,"Fish, Shrimp, Potatoes","Fish, Shrimp, Potatoes, Onion, Sugar, Chili, Olive Oil","Halal, Paleo","Prepare Fish, Shrimp, Potatoes. Cook with Fish, Shrimp, Potatoes, Onion, Sugar, Chili, Olive Oil. Season and serve.","Calories: 432, Protein: 13g, Carbs: 75g, Fat: 20g"
Chinese Spinach Power Bowl,Chinese,Lunch,Hard,10,165,7,"Spinach, Fish, Beef","Spinach, Fish, Beef, Sugar, Soy Sauce, Garlic, Chili",Paleo,"Prepare Spinach, Fish, Beef. Cook with Spinach, Fish, Beef, Sugar, Soy Sauce, Garlic, Chili. Season and serve.","Calories: 472, Protein: 15g, Carbs: 57g, Fat: 6g"
Spanish Shrimp Soup,Spanish,Lunch,Hard,64,44,4,"Shrimp, Fish, Pork","Shrimp, Fish, Pork, Sugar, Milk, Butter, Olive Oil","Halal, Contains nuts, Contains shellfish","Prepare Shrimp, Fish, Pork. Cook with Shrimp, Fish, Pork, Sugar, Milk, Butter, Olive Oil. Season and serve.","Calories: 564, Protein: 31g, Carbs: 53g, Fat: 13g"
African Beef Tagine,African,Dinner,Easy,75,153,7,"Beef, Eggs, Pork","Beef, Eggs, Pork, Cream, Onion, Herbs, Olive Oil","Vegetarian, Low-carb, Vegan","Prepare Beef, Eggs, Pork. Cook with Beef, Eggs, Pork, Cream, Onion, Herbs, Olive Oil. Season and serve.","Calories: 217, Protein: 22g, Carbs: 23g, Fat: 21g"
Vietnamese Tofu Vermicelli Bowl,Vietnamese,Lunch,Easy,74,67,5,"Tofu, Pasta, Spinach","Tofu, Pasta, Spinach, Flour, Milk, Sugar, Spices","Halal, Vegetarian","Prepare Tofu, Pasta, Spinach. Cook with Tofu, Pasta, Spinach, Flour, Milk, Sugar, Spices. Season and serve.","Calories: 211, Protein: 31g, Carbs: 48g, Fat: 29g"
